Sector,October,November,December,January,February,March,April,May,June,July,August,September
Big Bend,530,421,373,433,484,660,575,493,415,280,295,329
Del Rio,1119,897,697,1234,1245,1874,1791,1718,1326,767,1095,931
El Centro,2589,2412,2196,2688,2836,4408,3419,3126,2440,2331,2075,2042
El Paso,1007,894,725,1124,1140,1528,1359,1380,1005,725,732,632
Laredo,2613,2130,1802,2526,3173,4433,4528,3813,3475,1857,2819,2118
Rio Grande Valley,4236,3688,2987,3658,4845,7141,7139,7477,5595,3832,5329,3839
San Diego,5017,4738,4636,6413,6982,9061,7115,5858,5092,5113,4528,4012
Tucson,23197,16986,10907,16122,21266,31197,28579,22572,13160,10303,9280,8633
Yuma,582,649,711,586,819,1059,732,608,447,401,262,260
